lambda suscetibilidade
1.000000000000000021e-03 1.884472289647386001e+00
2.505050505050504875e-03 1.841514519522488680e+00
4.010101010101010596e-03 1.888495710760422552e+00
5.515151515151515450e-03 1.927693404197524885e+00
7.020202020202020304e-03 1.956001608876793307e+00
8.525252525252526026e-03 1.949777330245720641e+00
1.003030303030303175e-02 1.968165694058590764e+00
1.153535353535353400e-02 2.040311361377939114e+00
1.304040404040403972e-02 2.035718168320993726e+00
1.454545454545454544e-02 2.116368983036920781e+00
1.605050505050505116e-02 2.095811378853409401e+00
1.755555555555555688e-02 2.096340560936208686e+00
1.906060606060606261e-02 2.154788674100782675e+00
2.056565656565656833e-02 2.184252195866842161e+00
2.207070707070707058e-02 2.141819030604191099e+00
2.357575757575757630e-02 2.140634118272971786e+00
2.508080808080808202e-02 2.150666858032357354e+00
2.658585858585858774e-02 2.131738363263684377e+00
2.809090909090909347e-02 2.153452947323129862e+00
2.959595959595959572e-02 2.071646410134558636e+00
3.110101010101010144e-02 2.057118471724759257e+00
3.260606060606061063e-02 1.997018883983858739e+00
3.411111111111111288e-02 1.901592059595871076e+00
3.561616161616161513e-02 2.087715466057440405e+00
3.712121212121212432e-02 1.931457883451155100e+00
3.862626262626262658e-02 2.001184486558343689e+00
4.013131313131313577e-02 2.126620178279388984e+00
4.163636363636363802e-02 1.806742825907578176e+00
4.314141414141414027e-02 2.113271441453475674e+00
4.464646464646464946e-02 1.833898340863039600e+00
4.615151515151515171e-02 2.010302117673317124e+00
4.765656565656566090e-02 2.079467084068943983e+00
4.916161616161616316e-02 2.407282660962923870e+00
5.066666666666666541e-02 1.804759574330636607e+00
5.217171717171717460e-02 1.687385859625544215e+00
5.367676767676767685e-02 2.173648189025557009e+00
5.518181818181818604e-02 2.253497730930480447e+00
5.668686868686868829e-02 2.713311399580103256e+00
5.819191919191919055e-02 2.336474150961711516e+00
5.969696969696969974e-02 2.377069688896325861e+00
6.120202020202020199e-02 2.531444300166016959e+00
6.270707070707071118e-02 4.514843728607084827e+00
6.421212121212122037e-02 2.902033806078900824e+00
6.571717171717171568e-02 3.373112062391537602e+00
6.722222222222222487e-02 3.570981808121556078e+00
6.872727272727273407e-02 3.522413156287920177e+00
7.023232323232322938e-02 3.494191251894023686e+00
7.173737373737373857e-02 5.639627543765177720e+00
7.324242424242424776e-02 4.063975397844668436e+00
7.474747474747474307e-02 4.304815745998705090e+00
7.625252525252525226e-02 4.750183897672574318e+00
7.775757575757576145e-02 4.486127678218744919e+00
7.926262626262627065e-02 5.264354583568287893e+00
8.076767676767676596e-02 6.913989241954713982e+00
8.227272727272727515e-02 6.173805814555035631e+00
8.377777777777778434e-02 5.742789238126080775e+00
8.528282828282827965e-02 7.305496415483267114e+00
8.678787878787878884e-02 7.517316729075755433e+00
8.829292929292929804e-02 1.020358318526770702e+01
8.979797979797979335e-02 8.804930869687941808e+00
9.130303030303030254e-02 9.223637389024572641e+00
9.280808080808081173e-02 7.506405020072335788e+00
9.431313131313132092e-02 8.411747289570056907e+00
9.581818181818181623e-02 8.250549534121825346e+00
9.732323232323232542e-02 7.447169085761496277e+00
9.882828282828283462e-02 6.574499954689565939e+00
1.003333333333333299e-01 5.003679583491090987e+00
1.018383838383838391e-01 5.064387555644574768e+00
1.033434343434343483e-01 4.278316709771975646e+00
1.048484848484848575e-01 5.058302591021250016e+00
1.063535353535353528e-01 4.255958171150553859e+00
1.078585858585858620e-01 3.833400248296862767e+00
1.093636363636363712e-01 3.673912025272219939e+00
1.108686868686868665e-01 4.445205323451801860e+00
1.123737373737373757e-01 4.208207345962359014e+00
1.138787878787878849e-01 3.223989611893803175e+00
1.153838383838383802e-01 2.974689633517915599e+00
1.168888888888888894e-01 3.560015618553806771e+00
1.183939393939393986e-01 2.904793970302117501e+00
1.198989898989899078e-01 2.991177539408341524e+00
1.214040404040404031e-01 2.571109819519150186e+00
1.229090909090909123e-01 2.702799872867780007e+00
1.244141414141414215e-01 2.566317949676711230e+00
1.259191919191919029e-01 2.638319545701392599e+00
1.274242424242424399e-01 2.672699197360237644e+00
1.289292929292929213e-01 2.313956330554845842e+00
1.304343434343434305e-01 2.337419313078302086e+00
1.319393939393939397e-01 2.235437210570117905e+00
1.334444444444444489e-01 2.088635606497158737e+00
1.349494949494949581e-01 2.058157002278351744e+00
1.364545454545454672e-01 2.013322422504077114e+00
1.379595959595959487e-01 1.870662562671476570e+00
1.394646464646464579e-01 2.045874949445583013e+00
1.409696969696969671e-01 2.044341628330258676e+00
1.424747474747474763e-01 1.750988661107033328e+00
1.439797979797979854e-01 1.704225658160372747e+00
1.454848484848484946e-01 1.868793493559742114e+00
1.469898989898990038e-01 1.821718030977374170e+00
1.484949494949494853e-01 1.560615601199057956e+00
1.499999999999999944e-01 1.677437270121761026e+00
