lambda suscetibilidade
0.000000000000000000e+00 1.879552963576291091e+00
1.101101101101101043e-04 1.918991667425201886e+00
2.202202202202202086e-04 1.959023214814985758e+00
3.303303303303302993e-04 2.018861497435497920e+00
4.404404404404404171e-04 2.039541626096540217e+00
5.505505505505504807e-04 2.155094735520076021e+00
6.606606606606605986e-04 2.211203470577223662e+00
7.707707707707707164e-04 2.218546297064232231e+00
8.808808808808808342e-04 2.201849056820333050e+00
9.909909909909908436e-04 2.235563706198149259e+00
1.101101101101100961e-03 2.313944640609143288e+00
1.211211211211211079e-03 2.278191392385008118e+00
1.321321321321321197e-03 2.289069735251053395e+00
1.431431431431431315e-03 2.357491832576352753e+00
1.541541541541541433e-03 2.349852511725317505e+00
1.651651651651651551e-03 2.414905645960812475e+00
1.761761761761761668e-03 2.447841762845690106e+00
1.871871871871871786e-03 2.414490853559018824e+00
1.981981981981981687e-03 2.443541118243706567e+00
2.092092092092092022e-03 2.518751095618152025e+00
2.202202202202201923e-03 2.682942254454503406e+00
2.312312312312312258e-03 2.464956595346805113e+00
2.422422422422422159e-03 2.682111527716550814e+00
2.532532532532532493e-03 2.613050873656046935e+00
2.642642642642642394e-03 2.674260406704463744e+00
2.752752752752752729e-03 2.622542799950519754e+00
2.862862862862862630e-03 2.609876456464351957e+00
2.972972972972972965e-03 2.738882369843927744e+00
3.083083083083082866e-03 2.745874385613459978e+00
3.193193193193193200e-03 2.718206388637599780e+00
3.303303303303303101e-03 2.736170539758936648e+00
3.413413413413413436e-03 2.690653603695438711e+00
3.523523523523523337e-03 2.595814483930509287e+00
3.633633633633633238e-03 2.542896552288214096e+00
3.743743743743743572e-03 2.694758387920281439e+00
3.853853853853853473e-03 2.714965941441869646e+00
3.963963963963963374e-03 2.731295682983924777e+00
4.074074074074073709e-03 2.695483978514743306e+00
4.184184184184184044e-03 2.625276834994650255e+00
4.294294294294294378e-03 2.665776761698779751e+00
4.404404404404403846e-03 2.544947192887720089e+00
4.514514514514514180e-03 2.571453983262300014e+00
4.624624624624624515e-03 2.557861040682756659e+00
4.734734734734734850e-03 2.608003502124872863e+00
4.844844844844844317e-03 2.603777689336899126e+00
4.954954954954954652e-03 2.787473996384435715e+00
5.065065065065064986e-03 2.543136417728762755e+00
5.175175175175175321e-03 2.541677641356456796e+00
5.285285285285284788e-03 2.815201861012786910e+00
5.395395395395395123e-03 2.856464452088201433e+00
5.505505505505505458e-03 2.910365159359581622e+00
5.615615615615614925e-03 2.846161484522901297e+00
5.725725725725725260e-03 2.823129482727555040e+00
5.835835835835835594e-03 2.851506717478133890e+00
5.945945945945945929e-03 2.688183968904105381e+00
6.056056056056055396e-03 2.852323130282519159e+00
6.166166166166165731e-03 2.709761214004394070e+00
6.276276276276276066e-03 2.484954688594434469e+00
6.386386386386386400e-03 2.558084351926447564e+00
6.496496496496495868e-03 2.766846242584093396e+00
6.606606606606606202e-03 3.029830830947175091e+00
6.716716716716716537e-03 2.775968992248062595e+00
6.826826826826826872e-03 1.772457149737265647e+00
6.936936936936936339e-03 1.597836745609604092e+00
7.047047047047046674e-03 1.750685659598529398e+00
7.157157157157157008e-03 1.742560134550946493e+00
7.267267267267266476e-03 1.569925680613445174e+00
7.377377377377376810e-03 1.439345569091317945e+00
7.487487487487487145e-03 1.474582669570751570e+00
7.597597597597597480e-03 1.558935408735371730e+00
7.707707707707706947e-03 1.510498102392729525e+00
7.817817817817818149e-03 1.494750656167979086e+00
7.927927927927926749e-03 1.492002995995736381e+00
8.038038038038037084e-03 1.293320632393084146e+00
8.148148148148147418e-03 1.533538051695586324e+00
8.258258258258257753e-03 1.447948302416635968e+00
8.368368368368368088e-03 1.393303819803207722e+00
8.478478478478478422e-03 1.554302694977935939e+00
8.588588588588588757e-03 1.442722409909910075e+00
