lambda suscetibilidade
1.400000000000000133e-01 1.229733150666016517e+00
1.414141414141414366e-01 1.257223860177095753e+00
1.428282828282828321e-01 1.195392760259567755e+00
1.442424242424242553e-01 1.213087980224973217e+00
1.456565656565656786e-01 1.144667087742778255e+00
1.470707070707070740e-01 1.021162097350708065e+00
1.484848484848484973e-01 1.068306994486374339e+00
1.498989898989899205e-01 1.154599577280513989e+00
1.513131313131313160e-01 1.046002436263449020e+00
1.527272727272727393e-01 1.138685443613642434e+00
1.541414141414141625e-01 1.138218444368408910e+00
1.555555555555555580e-01 1.082125633109323415e+00
1.569696969696969813e-01 1.056663435490214020e+00
1.583838383838384045e-01 1.026558988470740008e+00
1.597979797979798278e-01 1.070960655598672817e+00
1.612121212121212233e-01 9.744090976381688529e-01
1.626262626262626465e-01 1.014033947762307930e+00
1.640404040404040420e-01 1.020565015465844994e+00
1.654545454545454652e-01 9.483475398074676654e-01
1.668686868686868885e-01 8.593083660823704895e-01
1.682828282828283117e-01 9.526075277906924654e-01
1.696969696969697072e-01 9.784104589960508358e-01
1.711111111111111305e-01 9.390706007227240804e-01
1.725252525252525537e-01 9.280976426444677019e-01
1.739393939393939492e-01 9.371599200693498943e-01
1.753535353535353725e-01 9.569140207983590773e-01
1.767676767676767957e-01 8.879913719763317115e-01
1.781818181818181912e-01 8.469599217118874979e-01
1.795959595959596145e-01 8.763048918275865296e-01
1.810101010101010377e-01 8.573170747003883152e-01
1.824242424242424332e-01 8.844794163641919171e-01
1.838383838383838564e-01 8.430415719611842329e-01
1.852525252525252797e-01 8.493269049887999245e-01
1.866666666666667029e-01 8.372919252929192924e-01
1.880808080808080984e-01 8.062870769943538685e-01
1.894949494949495217e-01 8.634662563748382036e-01
1.909090909090909172e-01 7.790362065025262517e-01
1.923232323232323404e-01 8.239275220342574535e-01
1.937373737373737637e-01 7.477137081921152451e-01
1.951515151515151869e-01 8.059844694335248638e-01
1.965656565656565824e-01 7.937420210839005730e-01
1.979797979797980056e-01 8.408606263235376410e-01
1.993939393939394011e-01 8.318019905209509401e-01
2.008080808080808244e-01 7.830390784280648608e-01
2.022222222222222476e-01 7.768414962984304672e-01
2.036363636363636709e-01 7.420771481273880088e-01
2.050505050505050941e-01 7.405718603506775688e-01
2.064646464646464896e-01 7.654781788613751470e-01
2.078787878787878851e-01 7.802113188795046783e-01
2.092929292929293084e-01 7.065113190380533092e-01
2.107070707070707316e-01 6.719961202819542123e-01
2.121212121212121549e-01 7.782270997570694959e-01
2.135353535353535781e-01 7.041606221019252043e-01
2.149494949494949736e-01 7.403238957980841084e-01
2.163636363636363691e-01 7.265327689238169073e-01
2.177777777777777923e-01 7.396302502841749504e-01
2.191919191919192156e-01 6.514312226445345688e-01
2.206060606060606388e-01 6.924552277962372493e-01
2.220202020202020621e-01 6.674010634486832183e-01
2.234343434343434576e-01 7.172657142966065713e-01
2.248484848484848808e-01 7.089816660644469026e-01
2.262626262626262763e-01 6.454606246078377074e-01
2.276767676767676996e-01 6.797185950079202010e-01
2.290909090909091228e-01 7.107438731351649608e-01
2.305050505050505461e-01 6.800625680028444808e-01
2.319191919191919415e-01 6.605258337619780429e-01
2.333333333333333648e-01 6.640663483405609968e-01
2.347474747474747603e-01 6.504960455293363752e-01
2.361616161616161835e-01 6.828718977195831208e-01
2.375757575757576068e-01 6.894460268342396114e-01
2.389898989898990300e-01 6.540184899336998203e-01
2.404040404040404533e-01 6.668643001479760413e-01
2.418181818181818488e-01 6.550363874258017249e-01
2.432323232323232443e-01 6.725135857466603140e-01
2.446464646464646675e-01 6.413594147764229980e-01
2.460606060606060908e-01 6.378470324520882917e-01
2.474747474747475140e-01 6.711518293033792437e-01
2.488888888888889372e-01 6.490807498312451962e-01
2.503030303030303605e-01 5.918205125456786897e-01
2.517171717171717282e-01 6.514465366145887337e-01
2.531313131313131515e-01 6.041477652513362884e-01
2.545454545454545747e-01 6.462199598875542073e-01
2.559595959595959980e-01 6.201159379523781823e-01
2.573737373737374212e-01 6.242914658508367243e-01
2.587878787878787890e-01 5.701477208507371719e-01
2.602020202020202122e-01 5.780414996867097033e-01
2.616161616161616355e-01 5.855302116425057379e-01
2.630303030303030587e-01 5.959720191369231035e-01
2.644444444444444819e-01 6.512077838979560829e-01
2.658585858585859052e-01 5.825341622657619345e-01
2.672727272727273284e-01 6.044930960555354726e-01
2.686868686868687517e-01 6.025209868608507602e-01
2.701010101010101749e-01 5.815285062540319627e-01
2.715151515151515427e-01 5.834838200484148141e-01
2.729292929292929659e-01 5.849855327822395257e-01
2.743434343434343892e-01 5.833942949079367057e-01
2.757575757575757569e-01 5.677230787298012116e-01
2.771717171717171802e-01 6.033659256868286747e-01
2.785858585858586034e-01 5.453972270414249035e-01
2.800000000000000266e-01 6.031773346360352894e-01
