lambda suscetibilidade
1.400000000000000133e-01 1.298527540576648986e+00
1.414141414141414366e-01 1.282604051839910886e+00
1.428282828282828321e-01 1.345276339172888136e+00
1.442424242424242553e-01 1.127370510564795536e+00
1.456565656565656786e-01 1.216832291890970863e+00
1.470707070707070740e-01 1.170367456460723155e+00
1.484848484848484973e-01 1.122378475154658828e+00
1.498989898989899205e-01 1.117412370247673703e+00
1.513131313131313160e-01 1.246715039730337260e+00
1.527272727272727393e-01 1.091871147789904128e+00
1.541414141414141625e-01 1.049452373547322459e+00
1.555555555555555580e-01 1.172432442828676979e+00
1.569696969696969813e-01 1.086296328687545110e+00
1.583838383838384045e-01 9.777638167242527212e-01
1.597979797979798278e-01 1.006590094975389205e+00
1.612121212121212233e-01 9.994797720799196705e-01
1.626262626262626465e-01 1.011342459160652130e+00
1.640404040404040420e-01 9.644578199006442754e-01
1.654545454545454652e-01 9.750828446132721039e-01
1.668686868686868885e-01 9.597702096393125881e-01
1.682828282828283117e-01 1.078239049129952720e+00
1.696969696969697072e-01 9.417072827604265894e-01
1.711111111111111305e-01 1.004056386915961996e+00
1.725252525252525537e-01 9.494496037821184009e-01
1.739393939393939492e-01 9.398761782063118631e-01
1.753535353535353725e-01 9.409484876174281087e-01
1.767676767676767957e-01 8.888638395035700634e-01
1.781818181818181912e-01 8.746845245254295520e-01
1.795959595959596145e-01 8.776194344622015864e-01
1.810101010101010377e-01 9.372131643129062439e-01
1.824242424242424332e-01 8.217697776513949171e-01
1.838383838383838564e-01 8.932948127821030981e-01
1.852525252525252797e-01 8.023703967048695374e-01
1.866666666666667029e-01 8.045166867866840876e-01
1.880808080808080984e-01 7.598722100999987239e-01
1.894949494949495217e-01 7.310607040964943737e-01
1.909090909090909172e-01 8.008495204029941750e-01
1.923232323232323404e-01 8.290578727908588519e-01
1.937373737373737637e-01 8.998579059766805832e-01
1.951515151515151869e-01 7.876670800828875496e-01
1.965656565656565824e-01 7.211853251763364892e-01
1.979797979797980056e-01 7.559090023519182688e-01
1.993939393939394011e-01 7.659705964844314430e-01
2.008080808080808244e-01 7.766745534469640111e-01
2.022222222222222476e-01 7.928339191383956264e-01
2.036363636363636709e-01 7.952113811093305396e-01
2.050505050505050941e-01 7.788963022601896879e-01
2.064646464646464896e-01 7.786465255901278137e-01
2.078787878787878851e-01 7.895141861195408284e-01
2.092929292929293084e-01 7.436444847010073023e-01
2.107070707070707316e-01 7.491546996428506411e-01
2.121212121212121549e-01 7.562573547994141387e-01
2.135353535353535781e-01 7.413757359556611970e-01
2.149494949494949736e-01 7.540207817237207788e-01
2.163636363636363691e-01 7.402810336097501720e-01
2.177777777777777923e-01 7.063965903701445725e-01
2.191919191919192156e-01 7.383194367076774123e-01
2.206060606060606388e-01 7.389933071123739872e-01
2.220202020202020621e-01 6.870250228234023870e-01
2.234343434343434576e-01 6.960366232701999945e-01
2.248484848484848808e-01 7.225302876092238868e-01
2.262626262626262763e-01 6.766716074051587482e-01
2.276767676767676996e-01 7.129006606127771262e-01
2.290909090909091228e-01 7.118730042780178069e-01
2.305050505050505461e-01 6.917916053677671817e-01
2.319191919191919415e-01 7.088524961163708005e-01
2.333333333333333648e-01 6.818710018193459010e-01
2.347474747474747603e-01 6.704124518602010419e-01
2.361616161616161835e-01 6.926792592344745980e-01
2.375757575757576068e-01 6.712239742894288153e-01
2.389898989898990300e-01 7.115197956967520554e-01
2.404040404040404533e-01 6.543040877706016722e-01
2.418181818181818488e-01 6.776246063212219006e-01
2.432323232323232443e-01 6.523942512705759311e-01
2.446464646464646675e-01 6.675656903682206655e-01
2.460606060606060908e-01 6.554676076243562965e-01
2.474747474747475140e-01 6.454433001106157919e-01
2.488888888888889372e-01 6.256922519472134514e-01
2.503030303030303605e-01 6.240355087899027708e-01
2.517171717171717282e-01 6.385947748442351024e-01
2.531313131313131515e-01 6.340428587842991126e-01
2.545454545454545747e-01 6.583262945222787543e-01
2.559595959595959980e-01 6.152456206908895053e-01
2.573737373737374212e-01 6.135116864966398964e-01
2.587878787878787890e-01 5.993308636457070904e-01
2.602020202020202122e-01 6.092032332887712398e-01
2.616161616161616355e-01 5.914227197607663244e-01
2.630303030303030587e-01 5.674434706394883010e-01
2.644444444444444819e-01 5.974470997938985395e-01
2.658585858585859052e-01 5.892250222658897973e-01
2.672727272727273284e-01 6.495609597663118961e-01
2.686868686868687517e-01 5.969684181994678873e-01
2.701010101010101749e-01 6.120221719756240297e-01
2.715151515151515427e-01 5.823019044079121853e-01
2.729292929292929659e-01 5.662690313650918794e-01
2.743434343434343892e-01 5.572207070325039258e-01
2.757575757575757569e-01 5.696055551864074307e-01
2.771717171717171802e-01 6.227491450731295064e-01
2.785858585858586034e-01 5.744798849390255757e-01
2.800000000000000266e-01 5.738160430560730330e-01
