lambda suscetibilidade
1.000000000000000021e-02 1.847253955348517440e+00
1.101010101010100987e-02 1.895816814837645303e+00
1.202020202020202128e-02 1.916538787921646225e+00
1.303030303030303094e-02 1.997282530859882721e+00
1.404040404040404061e-02 2.005102930828826846e+00
1.505050505050505028e-02 2.044762596997522053e+00
1.606060606060605994e-02 2.084908317987480775e+00
1.707070707070706961e-02 2.009847291042227813e+00
1.808080808080807927e-02 2.070184573720757815e+00
1.909090909090908894e-02 2.173505398550930057e+00
2.010101010101009861e-02 2.102664326895049118e+00
2.111111111111111174e-02 2.120459166064867063e+00
2.212121212121212141e-02 2.199785242694005216e+00
2.313131313131313108e-02 2.227862690330817408e+00
2.414141414141414421e-02 2.153225498571578633e+00
2.515151515151515388e-02 2.504775131081826256e+00
2.616161616161616355e-02 2.081048923243670412e+00
2.717171717171717321e-02 2.198069681966562605e+00
2.818181818181818288e-02 2.258106678192603134e+00
2.919191919191919254e-02 2.134583844958310994e+00
3.020202020202020221e-02 2.135398737808376080e+00
3.121212121212121188e-02 2.199267004854998486e+00
3.222222222222222154e-02 2.316257607441043032e+00
3.323232323232323121e-02 2.165108152644418471e+00
3.424242424242424088e-02 2.126867964394930421e+00
3.525252525252525054e-02 2.265200797792064957e+00
3.626262626262626021e-02 1.965823687312592938e+00
3.727272727272726988e-02 2.044747792816363763e+00
3.828282828282828648e-02 1.946013759070574389e+00
3.929292929292929615e-02 2.126235418932090226e+00
4.030303030303030581e-02 2.380638143814381991e+00
4.131313131313131548e-02 2.552713569180182329e+00
4.232323232323232515e-02 2.246087597135594027e+00
4.333333333333333481e-02 2.385423151371020900e+00
4.434343434343434448e-02 3.591689767794438382e+00
4.535353535353535415e-02 2.516154906393779811e+00
4.636363636363636381e-02 3.306470573672644964e+00
4.737373737373737348e-02 2.993313431974097938e+00
4.838383838383838315e-02 4.055063412147091206e+00
4.939393939393939281e-02 2.840545054147973758e+00
5.040404040404040248e-02 3.839501832287484095e+00
5.141414141414141908e-02 3.592796742622534900e+00
5.242424242424242875e-02 3.509567842692091766e+00
5.343434343434343842e-02 4.709491468722554863e+00
5.444444444444444808e-02 3.700729674875830266e+00
5.545454545454545775e-02 4.319348300285338560e+00
5.646464646464646742e-02 5.135992926675664094e+00
5.747474747474747708e-02 5.035558213646507575e+00
5.848484848484848675e-02 5.815612181533098557e+00
5.949494949494949642e-02 4.629229850750244957e+00
6.050505050505050608e-02 4.806010680336840757e+00
6.151515151515151575e-02 6.260090046503652417e+00
6.252525252525252542e-02 6.065535181402087694e+00
6.353535353535352814e-02 4.748516093593340592e+00
6.454545454545454475e-02 6.004536675528029832e+00
6.555555555555554748e-02 6.791717318895110544e+00
6.656565656565656408e-02 5.651192436960692511e+00
6.757575757575758069e-02 6.348590574748031123e+00
6.858585858585858341e-02 5.587745375218257315e+00
6.959595959595960002e-02 6.422492984795098891e+00
7.060606060606060275e-02 5.598060360078930486e+00
7.161616161616161935e-02 5.691229079143348635e+00
7.262626262626262208e-02 5.732418215111922954e+00
7.363636363636362481e-02 6.512029175060043862e+00
7.464646464646464141e-02 4.652401470781480697e+00
7.565656565656565802e-02 5.570572724719138336e+00
7.666666666666666075e-02 4.815499791933290474e+00
7.767676767676767735e-02 5.202901933175194671e+00
7.868686868686868008e-02 5.015580695878560924e+00
7.969696969696969668e-02 4.083830251265144540e+00
8.070707070707069941e-02 3.989752877011558674e+00
8.171717171717171602e-02 3.747368905283163798e+00
8.272727272727271874e-02 4.275329750921885719e+00
8.373737373737373535e-02 3.206510325038139264e+00
8.474747474747473808e-02 4.253826170483509195e+00
8.575757575757575468e-02 2.947676269303897367e+00
8.676767676767675741e-02 3.391491020155817715e+00
8.777777777777777402e-02 3.081693858429510602e+00
8.878787878787877674e-02 3.263323838155051781e+00
8.979797979797979335e-02 3.145359160532393616e+00
9.080808080808079608e-02 3.021334313099811819e+00
9.181818181818181268e-02 2.723498744843523944e+00
9.282828282828282929e-02 2.746190802824624466e+00
9.383838383838383201e-02 2.630863954765596979e+00
9.484848484848484862e-02 2.745708608759965585e+00
9.585858585858585135e-02 2.645002879654722250e+00
9.686868686868686795e-02 2.487990677226902037e+00
9.787878787878787068e-02 2.520138732627057010e+00
9.888888888888888729e-02 2.173166051161630641e+00
9.989898989898989001e-02 2.119479540548854235e+00
1.009090909090909066e-01 2.320193775876177256e+00
1.019191919191919093e-01 2.356726519388046004e+00
1.029292929292929260e-01 2.283739994132509832e+00
1.039393939393939287e-01 1.946188745042095825e+00
1.049494949494949453e-01 2.040299562363762309e+00
1.059595959595959480e-01 2.025476670809689406e+00
1.069696969696969646e-01 1.932295278655007609e+00
1.079797979797979812e-01 2.041573438885667890e+00
1.089898989898989839e-01 2.012543779107211162e+00
1.100000000000000006e-01 1.744741769277972088e+00
