lambda suscetibilidade
1.400000000000000133e-01 2.088560022823639617e+00
1.402805611222444904e-01 2.398325744992341413e+00
1.405611222444889952e-01 2.280275419463153597e+00
1.408416833667334722e-01 2.490457897942552012e+00
1.411222444889779770e-01 2.304950589541141959e+00
1.414028056112224541e-01 2.214035420171075241e+00
1.416833667334669589e-01 2.293861290562863697e+00
1.419639278557114359e-01 2.492906758623324670e+00
1.422444889779559130e-01 2.354878229320733762e+00
1.425250501002004178e-01 2.155619492930751502e+00
1.428056112224448948e-01 2.210756518574524598e+00
1.430861723446893996e-01 2.569523292998948882e+00
1.433667334669338767e-01 2.422710246326327699e+00
1.436472945891783815e-01 2.427954821277084729e+00
1.439278557114228585e-01 2.592053282077206422e+00
1.442084168336673355e-01 3.149148689501046761e+00
1.444889779559118403e-01 2.280988773190268493e+00
1.447695390781563174e-01 2.734826174053002656e+00
1.450501002004008222e-01 2.722723586984397315e+00
1.453306613226452992e-01 2.973013497590554888e+00
1.456112224448898040e-01 2.546637400363418902e+00
1.458917835671342811e-01 2.961856018927618184e+00
1.461723446893787859e-01 3.073112630367622611e+00
1.464529058116232629e-01 2.368766014185218705e+00
1.467334669338677400e-01 3.208334668156852310e+00
1.470140280561122448e-01 2.990198754337621168e+00
1.472945891783567218e-01 2.708580604698623162e+00
1.475751503006012266e-01 3.611540091469302993e+00
1.478557114228457037e-01 2.738618043416395142e+00
1.481362725450902085e-01 2.842866264152767553e+00
1.484168336673346855e-01 3.445167320659956456e+00
1.486973947895791626e-01 3.380541279042267533e+00
1.489779559118236674e-01 3.061314286453510114e+00
1.492585170340681444e-01 4.156643060935336642e+00
1.495390781563126492e-01 3.504168610973063203e+00
1.498196392785571263e-01 2.582506894460579350e+00
1.501002004008016311e-01 2.270272567978937950e+00
1.503807615230461081e-01 2.385015271307219020e+00
1.506613226452905852e-01 2.970307080447417203e+00
1.509418837675350900e-01 3.119692429695219094e+00
1.512224448897795670e-01 3.156869040983840691e+00
1.515030060120240718e-01 3.303438518482380015e+00
1.517835671342685488e-01 3.697326110372756602e+00
1.520641282565130536e-01 3.664734089915692383e+00
1.523446893787575307e-01 3.024070564453766430e+00
1.526252505010020077e-01 2.288266714246317779e+00
1.529058116232465125e-01 2.994333678509538466e+00
1.531863727454909896e-01 3.521249734694546607e+00
1.534669338677354944e-01 2.873118363118948082e+00
1.537474949899799714e-01 3.333136031255733212e+00
1.540280561122244762e-01 3.250466797754939741e+00
1.543086172344689533e-01 2.614804053444820475e+00
1.545891783567134303e-01 2.471848154745093229e+00
1.548697394789579351e-01 4.468711339893014056e+00
1.551503006012024122e-01 2.925111019634647036e+00
1.554308617234469170e-01 2.896145541019783387e+00
1.557114228456913940e-01 3.257146779912553747e+00
1.559919839679358988e-01 2.459320955571751899e+00
1.562725450901803759e-01 3.495539800946033004e+00
1.565531062124248529e-01 3.303387415269845917e+00
1.568336673346693577e-01 2.490472589642315437e+00
1.571142284569138348e-01 3.203160829992144798e+00
1.573947895791583396e-01 3.154330198713774180e+00
1.576753507014028166e-01 2.945125805101181715e+00
1.579559118236473214e-01 3.512257436186962067e+00
1.582364729458917985e-01 3.006181059689990498e+00
1.585170340681362755e-01 2.881201779816932262e+00
1.587975951903807803e-01 3.419337703475310075e+00
1.590781563126252574e-01 3.956319960148687365e+00
1.593587174348697622e-01 2.834127051718186685e+00
1.596392785571142392e-01 2.839463872832725944e+00
1.599198396793587440e-01 4.521661505269853443e+00
1.602004008016032210e-01 3.701452045553884407e+00
1.604809619238476981e-01 2.283656733937603267e+00
1.607615230460922029e-01 2.864451962305353483e+00
1.610420841683366799e-01 2.357902749425538236e+00
1.613226452905811847e-01 2.588290268062134025e+00
1.616032064128256618e-01 2.153911058074066798e+00
1.618837675350701666e-01 3.858979630418785334e+00
1.621643286573146436e-01 3.543291726098000805e+00
1.624448897795591207e-01 3.575614198788999332e+00
1.627254509018036255e-01 3.330287480312306148e+00
1.630060120240481025e-01 3.639611764409153238e+00
1.632865731462926073e-01 2.854527608496729041e+00
1.635671342685370844e-01 3.411018221446659560e+00
1.638476953907815892e-01 2.315683289929616251e+00
1.641282565130260662e-01 3.425712888340060047e+00
1.644088176352705433e-01 3.126278765082485922e+00
1.646893787575150481e-01 3.082403264071515103e+00
1.649699398797595251e-01 3.539915529974464459e+00
1.652505010020040299e-01 2.761242227941935745e+00
1.655310621242485070e-01 2.573591539219144408e+00
1.658116232464930118e-01 3.322350651740313854e+00
1.660921843687374888e-01 4.935700256117159235e+00
1.663727454909819936e-01 3.485083698029322274e+00
1.666533066132264707e-01 2.628008920356404765e+00
1.669338677354709755e-01 2.781995654343902391e+00
1.672144288577154525e-01 4.642852925609225245e+00
1.674949899799599295e-01 3.929317176668652323e+00
1.677755511022044344e-01 4.825814873912440461e+00
1.680561122244489114e-01 2.611539992815623545e+00
1.683366733466934162e-01 4.079955810689749995e+00
1.686172344689378932e-01 3.467839877939173920e+00
1.688977955911823980e-01 2.164472247907246238e+00
1.691783567134268751e-01 2.748945207320469653e+00
1.694589178356713521e-01 4.908665397633822813e+00
1.697394789579158569e-01 4.643862897610571139e+00
1.700200400801603340e-01 4.193662463870310830e+00
1.703006012024048388e-01 3.045365031005562884e+00
1.705811623246493158e-01 5.308960351566446079e+00
1.708617234468938206e-01 3.760108819787378209e+00
1.711422845691382977e-01 3.384201704881643735e+00
1.714228456913827747e-01 4.337756439206939874e+00
1.717034068136272795e-01 2.909686768023492576e+00
1.719839679358717566e-01 4.234740414354098981e+00
1.722645290581162614e-01 3.758025227269750079e+00
1.725450901803607384e-01 2.890859864447421490e+00
1.728256513026052432e-01 4.732021175121037260e+00
1.731062124248497203e-01 4.373390048487895143e+00
1.733867735470941973e-01 5.499123373418977501e+00
1.736673346693387021e-01 5.616309714999464298e+00
1.739478957915831792e-01 3.257833828040489266e+00
1.742284569138276840e-01 4.800591072486277255e+00
1.745090180360721610e-01 4.846596699872214309e+00
1.747895791583166658e-01 4.011809362953611569e+00
1.750701402805611429e-01 4.521760779631808447e+00
1.753507014028056199e-01 5.649509810598502213e+00
1.756312625250501247e-01 3.861738362227633559e+00
1.759118236472946017e-01 3.847491822651389004e+00
1.761923847695391065e-01 5.903268191715070223e+00
1.764729458917835836e-01 6.157178267546777661e+00
1.767535070140280884e-01 3.260911877137079973e+00
1.770340681362725654e-01 4.018429472564800875e+00
1.773146292585170425e-01 3.513728288088364238e+00
1.775951903807615473e-01 5.905560482991044857e+00
1.778757515030060243e-01 7.290562910028621779e+00
1.781563126252505291e-01 4.666890806601424302e+00
1.784368737474950062e-01 4.646183971841938209e+00
1.787174348697395110e-01 6.904007219588325306e+00
1.789979959919839880e-01 5.126306435888512425e+00
1.792785571142284651e-01 7.085063271178421829e+00
1.795591182364729699e-01 4.777698813962582669e+00
1.798396793587174469e-01 5.489787293439608362e+00
1.801202404809619517e-01 7.075120350629678256e+00
1.804008016032064288e-01 1.165875356350849046e+01
1.806813627254509336e-01 4.383723345667841720e+00
1.809619238476954106e-01 9.302793686031048281e+00
1.812424849699398877e-01 3.162677568507749282e+00
1.815230460921843925e-01 4.445399406626479255e+00
1.818036072144288695e-01 5.340783492748683692e+00
1.820841683366733743e-01 7.971589603714249073e+00
1.823647294589178514e-01 4.590883235873969070e+00
1.826452905811623562e-01 4.083788401594595996e+00
1.829258517034068332e-01 5.577961843576984435e+00
1.832064128256513102e-01 5.569992921381633266e+00
1.834869739478958151e-01 4.233428519459428330e+00
1.837675350701402921e-01 8.050782223455620112e+00
1.840480961923847969e-01 5.293614665806295250e+00
1.843286573146292739e-01 9.305404154021667651e+00
1.846092184368737787e-01 7.109925335847030681e+00
1.848897795591182558e-01 1.100646421888333393e+01
1.851703406813627328e-01 5.942170024523645289e+00
1.854509018036072376e-01 5.046306650505052893e+00
1.857314629258517147e-01 5.420192884016675094e+00
1.860120240480962195e-01 5.256074539057362216e+00
1.862925851703406965e-01 6.610098532434387941e+00
1.865731462925852013e-01 8.518564959843045514e+00
1.868537074148296784e-01 5.869144597691879461e+00
1.871342685370741554e-01 4.978408122078373133e+00
1.874148296593186602e-01 5.514119765602733203e+00
1.876953907815631650e-01 4.573392258740190286e+00
1.879759519038076421e-01 7.047755421250486485e+00
1.882565130260521191e-01 1.056034223747115064e+01
1.885370741482966239e-01 8.226807092270153277e+00
1.888176352705411010e-01 6.626550068329135179e+00
1.890981963927855780e-01 5.627295242252936092e+00
1.893787575150300828e-01 6.291647993632373925e+00
1.896593186372745876e-01 6.115186860455423812e+00
1.899398797595190647e-01 6.836210689140298058e+00
1.902204408817635417e-01 5.999358604170691223e+00
1.905010020040080465e-01 6.916372631936417825e+00
1.907815631262525236e-01 6.834168596102943027e+00
1.910621242484970006e-01 6.356121694506343900e+00
1.913426853707415054e-01 9.336720966738470295e+00
1.916232464929860102e-01 6.895819818301918147e+00
1.919038076152304872e-01 4.605180282719667062e+00
1.921843687374749643e-01 7.260376351477523471e+00
1.924649298597194691e-01 6.306853059890581648e+00
1.927454909819639461e-01 6.330460603589546764e+00
1.930260521042084232e-01 1.003525851994895213e+01
1.933066132264529280e-01 1.293563420892392024e+01
1.935871743486974328e-01 6.587112973519872128e+00
1.938677354709419098e-01 6.660855654877015475e+00
1.941482965931863869e-01 6.626424801808278531e+00
1.944288577154308917e-01 1.109582738329875795e+01
1.947094188376753687e-01 5.784881965421484473e+00
1.949899799599198458e-01 7.256624511922771248e+00
1.952705410821643506e-01 6.914846179322982955e+00
1.955511022044088554e-01 6.964308563482760839e+00
1.958316633266533324e-01 1.187900531759400735e+01
1.961122244488978095e-01 9.159280735602829182e+00
1.963927855711423143e-01 9.692029760490393997e+00
1.966733466933867913e-01 9.643927990068970502e+00
1.969539078156312684e-01 7.777565970427962050e+00
1.972344689378757732e-01 8.322040898419947652e+00
1.975150300601202780e-01 8.083350424963452241e+00
1.977955911823647550e-01 8.312909176732034666e+00
1.980761523046092321e-01 7.611329342038481549e+00
1.983567134268537369e-01 8.849769532542108408e+00
1.986372745490982139e-01 7.430236915576343470e+00
1.989178356713427187e-01 1.224445949363130914e+01
1.991983967935871958e-01 1.099640800632814752e+01
1.994789579158317006e-01 8.999380992332881135e+00
1.997595190380761776e-01 6.116233345834626078e+00
2.000400801603206546e-01 1.102023321848328052e+01
2.003206412825651594e-01 9.482021547571571674e+00
2.006012024048096365e-01 9.355659948242413648e+00
2.008817635270541413e-01 9.358526482794610857e+00
2.011623246492986183e-01 9.438670848374403732e+00
2.014428857715431231e-01 1.104983029649973147e+01
2.017234468937876002e-01 7.889011818906735307e+00
2.020040080160320772e-01 9.245176594887487553e+00
2.022845691382765820e-01 8.521675428464115853e+00
2.025651302605210868e-01 1.246338453158517012e+01
2.028456913827655361e-01 1.474820396784780741e+01
2.031262525050100409e-01 1.467583837441800831e+01
2.034068136272545457e-01 8.443192196856847076e+00
2.036873747494990228e-01 1.143402074701813831e+01
2.039679358717434998e-01 1.309646500529502688e+01
2.042484969939880046e-01 1.183722689181099241e+01
2.045290581162325094e-01 1.122304920984990240e+01
2.048096192384769587e-01 1.194449275712776348e+01
2.050901803607214635e-01 1.593110679911983851e+01
2.053707414829659683e-01 1.281267195431474981e+01
2.056513026052104454e-01 9.839229524276312588e+00
2.059318637274549224e-01 1.579326901877615086e+01
2.062124248496994272e-01 1.335323458240632810e+01
2.064929859719439320e-01 1.360754675103953915e+01
2.067735470941883813e-01 9.960410299286488467e+00
2.070541082164328861e-01 1.265436599268199025e+01
2.073346693386773909e-01 1.222736395561688383e+01
2.076152304609218679e-01 1.368107489835923829e+01
2.078957915831663450e-01 1.302231820251131111e+01
2.081763527054108498e-01 8.463382543305852934e+00
2.084569138276553546e-01 8.813804601520409676e+00
2.087374749498998316e-01 8.178796042932450661e+00
2.090180360721443087e-01 1.034526588656390977e+01
2.092985971943888135e-01 9.331903817776424859e+00
2.095791583166332905e-01 8.774950065603674076e+00
2.098597194388777676e-01 1.222193969920467360e+01
2.101402805611222724e-01 1.319134562706393154e+01
2.104208416833667772e-01 1.199355227995597595e+01
2.107014028056112542e-01 1.489405425536700456e+01
2.109819639278557313e-01 1.548531786163193935e+01
2.112625250501002361e-01 1.031825665845900275e+01
2.115430861723447131e-01 1.194334460881565008e+01
2.118236472945891902e-01 9.933270406125467744e+00
2.121042084168336950e-01 8.710510740302645161e+00
2.123847695390781998e-01 1.303470184836137236e+01
2.126653306613226768e-01 1.217596056931892612e+01
2.129458917835671539e-01 1.106393996465809870e+01
2.132264529058116587e-01 1.281155176142800300e+01
2.135070140280561357e-01 1.081403125611521254e+01
2.137875751503006128e-01 1.122179426263797986e+01
2.140681362725451176e-01 1.616966069492971059e+01
2.143486973947896224e-01 1.326528263922861406e+01
2.146292585170340994e-01 1.172290752265207203e+01
2.149098196392785765e-01 1.535875050898095751e+01
2.151903807615230813e-01 1.407798903924999578e+01
2.154709418837675583e-01 1.023033822616275756e+01
2.157515030060120353e-01 1.551963631171373414e+01
2.160320641282565401e-01 1.020751575223272489e+01
2.163126252505010449e-01 6.649289652822544028e+00
2.165931863727455220e-01 1.067413808089706073e+01
2.168737474949899990e-01 7.822450133153696861e+00
2.171543086172345038e-01 1.231660571889327471e+01
2.174348697394789809e-01 8.454230240437698995e+00
2.177154308617234579e-01 8.648973469311730611e+00
2.179959919839679627e-01 1.225570885236026974e+01
2.182765531062124675e-01 1.279614916935032021e+01
2.185571142284569446e-01 9.857318832850157975e+00
2.188376753507014216e-01 8.798796724751284160e+00
2.191182364729459264e-01 8.574090082339527186e+00
2.193987975951904035e-01 9.546378437167726716e+00
2.196793587174348805e-01 1.099962363692162448e+01
2.199599198396793853e-01 1.135136599205872798e+01
2.202404809619238901e-01 1.043209476043701756e+01
2.205210420841683672e-01 9.284294611536857644e+00
2.208016032064128442e-01 7.916995811361329238e+00
2.210821643286573490e-01 6.970901791514488188e+00
2.213627254509018261e-01 8.414149187346456671e+00
2.216432865731463031e-01 8.898843977289518037e+00
2.219238476953908079e-01 7.905913073752102171e+00
2.222044088176353127e-01 1.030985288856722981e+01
2.224849699398797898e-01 7.101014777038122894e+00
2.227655310621242668e-01 8.764477845792326249e+00
2.230460921843687716e-01 6.981561886483327761e+00
2.233266533066132487e-01 1.055910598923437504e+01
2.236072144288577257e-01 7.624889140113791264e+00
2.238877755511022305e-01 6.482267647448633596e+00
2.241683366733467353e-01 5.927240680166425690e+00
2.244488977955912123e-01 9.578358903696704729e+00
2.247294589178356894e-01 7.993048647037968912e+00
2.250100200400801942e-01 7.252728628611017747e+00
2.252905811623246712e-01 7.743271430436310609e+00
