lambda suscetibilidade
1.400000000000000133e-01 1.994908988683436801e+00
1.402805611222444904e-01 2.288405653487291858e+00
1.405611222444889952e-01 2.226715054275844707e+00
1.408416833667334722e-01 2.001555203216149881e+00
1.411222444889779770e-01 2.441464348499306158e+00
1.414028056112224541e-01 2.329760945717513909e+00
1.416833667334669589e-01 2.208722922115621934e+00
1.419639278557114359e-01 2.160414506122647627e+00
1.422444889779559130e-01 2.737280373009983503e+00
1.425250501002004178e-01 2.360420164585949276e+00
1.428056112224448948e-01 2.351928972572211229e+00
1.430861723446893996e-01 2.439596162671694657e+00
1.433667334669338767e-01 2.519191160105739957e+00
1.436472945891783815e-01 2.635547904815531250e+00
1.439278557114228585e-01 4.405747309364989484e+00
1.442084168336673355e-01 2.634209932108783292e+00
1.444889779559118403e-01 2.335689818067654411e+00
1.447695390781563174e-01 2.069400342537176307e+00
1.450501002004008222e-01 2.671834796492586150e+00
1.453306613226452992e-01 3.236037711822833618e+00
1.456112224448898040e-01 2.935987630327072662e+00
1.458917835671342811e-01 2.656837113481558710e+00
1.461723446893787859e-01 3.719379414765485059e+00
1.464529058116232629e-01 2.424882304203332062e+00
1.467334669338677400e-01 2.599186455300769527e+00
1.470140280561122448e-01 2.986576637977337967e+00
1.472945891783567218e-01 3.126396888193357260e+00
1.475751503006012266e-01 2.866441805307649027e+00
1.478557114228457037e-01 2.536032320696670173e+00
1.481362725450902085e-01 3.454975113549322518e+00
1.484168336673346855e-01 3.584274541603659436e+00
1.486973947895791626e-01 2.623589793727991282e+00
1.489779559118236674e-01 2.846321764204833737e+00
1.492585170340681444e-01 3.921530094289504831e+00
1.495390781563126492e-01 2.992715483436507284e+00
1.498196392785571263e-01 2.315486893379590683e+00
1.501002004008016311e-01 3.129978062564646724e+00
1.503807615230461081e-01 3.630785443752600816e+00
1.506613226452905852e-01 2.763011312225243099e+00
1.509418837675350900e-01 2.770156997952584632e+00
1.512224448897795670e-01 2.329623813178114400e+00
1.515030060120240718e-01 1.971739684622762168e+00
1.517835671342685488e-01 1.909946606674290059e+00
1.520641282565130536e-01 1.905563608630499228e+00
1.523446893787575307e-01 2.185625471414457621e+00
1.526252505010020077e-01 3.034465920619116908e+00
1.529058116232465125e-01 2.862754675158084350e+00
1.531863727454909896e-01 2.493656208224273918e+00
1.534669338677354944e-01 3.047583180752363230e+00
1.537474949899799714e-01 2.463199057606471509e+00
1.540280561122244762e-01 3.156949002802552418e+00
1.543086172344689533e-01 2.585019137563155045e+00
1.545891783567134303e-01 2.623563644826659491e+00
1.548697394789579351e-01 3.336643516513309482e+00
1.551503006012024122e-01 2.455716119287000954e+00
1.554308617234469170e-01 2.811883435933657971e+00
1.557114228456913940e-01 3.540821243508922134e+00
1.559919839679358988e-01 2.828534544188440858e+00
1.562725450901803759e-01 4.802240167116638148e+00
1.565531062124248529e-01 2.306568640235115986e+00
1.568336673346693577e-01 3.026648045693714817e+00
1.571142284569138348e-01 2.716999213802638646e+00
1.573947895791583396e-01 2.906014700049122101e+00
1.576753507014028166e-01 3.855773466666965632e+00
1.579559118236473214e-01 2.177476681550971627e+00
1.582364729458917985e-01 3.265492552134861004e+00
1.585170340681362755e-01 2.956445313761531857e+00
1.587975951903807803e-01 3.755351357280143354e+00
1.590781563126252574e-01 3.330504438199514805e+00
1.593587174348697622e-01 2.820741395271092689e+00
1.596392785571142392e-01 3.485408380209519486e+00
1.599198396793587440e-01 3.028394166152798661e+00
1.602004008016032210e-01 3.286668554450900004e+00
1.604809619238476981e-01 3.676474955829904356e+00
1.607615230460922029e-01 3.228853593190923021e+00
1.610420841683366799e-01 2.553662325268659661e+00
1.613226452905811847e-01 3.969856689167114538e+00
1.616032064128256618e-01 2.270609710405083081e+00
1.618837675350701666e-01 2.864592134720875372e+00
1.621643286573146436e-01 2.916221762207642065e+00
1.624448897795591207e-01 4.660980226397356319e+00
1.627254509018036255e-01 2.694120684612466121e+00
1.630060120240481025e-01 2.336589409361637504e+00
1.632865731462926073e-01 2.478727857257045031e+00
1.635671342685370844e-01 3.807131722095588700e+00
1.638476953907815892e-01 3.327856207689484869e+00
1.641282565130260662e-01 3.348256601154647516e+00
1.644088176352705433e-01 3.667542432782066264e+00
1.646893787575150481e-01 3.093577384013265874e+00
1.649699398797595251e-01 2.686623049274008856e+00
1.652505010020040299e-01 3.180288597521373273e+00
1.655310621242485070e-01 3.548593078038815740e+00
1.658116232464930118e-01 3.217940769800980760e+00
1.660921843687374888e-01 4.353938975942266865e+00
1.663727454909819936e-01 3.043310092881329254e+00
1.666533066132264707e-01 3.346756341269470081e+00
1.669338677354709755e-01 8.024834105337692591e+00
1.672144288577154525e-01 3.315039527432989352e+00
1.674949899799599295e-01 3.830781029169427310e+00
1.677755511022044344e-01 4.251836220452017479e+00
1.680561122244489114e-01 3.510085735174620858e+00
1.683366733466934162e-01 3.215634177710514408e+00
1.686172344689378932e-01 3.988909053851009467e+00
1.688977955911823980e-01 7.024108849577167746e+00
1.691783567134268751e-01 3.352092655953616607e+00
1.694589178356713521e-01 3.428844067603833423e+00
1.697394789579158569e-01 2.652774076697258732e+00
1.700200400801603340e-01 3.790149854665708418e+00
1.703006012024048388e-01 3.659438389931914504e+00
1.705811623246493158e-01 3.893822965558518590e+00
1.708617234468938206e-01 4.557188264885898121e+00
1.711422845691382977e-01 3.344005953270283271e+00
1.714228456913827747e-01 3.219800882521130614e+00
1.717034068136272795e-01 4.966951367640850101e+00
1.719839679358717566e-01 4.124953640972276681e+00
1.722645290581162614e-01 2.942931342710233267e+00
1.725450901803607384e-01 3.136520711817590623e+00
1.728256513026052432e-01 3.226443636831410888e+00
