lambda suscetibilidade
1.400000000000000133e-01 2.295368818301923852e+00
1.402805611222444904e-01 2.313772052163137971e+00
1.405611222444889952e-01 2.573631978652715091e+00
1.408416833667334722e-01 2.416622485292656553e+00
1.411222444889779770e-01 2.292943176387619353e+00
1.414028056112224541e-01 2.529638273967557360e+00
1.416833667334669589e-01 2.016570759456072892e+00
1.419639278557114359e-01 2.308177514641604144e+00
1.422444889779559130e-01 2.332348270404927870e+00
1.425250501002004178e-01 2.827921181353385993e+00
1.428056112224448948e-01 2.566507123379919264e+00
1.430861723446893996e-01 2.542245705364606145e+00
1.433667334669338767e-01 2.887521787262052442e+00
1.436472945891783815e-01 2.464606293591519393e+00
1.439278557114228585e-01 2.205224237262524145e+00
1.442084168336673355e-01 2.580143439242720493e+00
1.444889779559118403e-01 2.875583677370172175e+00
1.447695390781563174e-01 2.477326316675393159e+00
1.450501002004008222e-01 2.114327029841053918e+00
1.453306613226452992e-01 2.408964890426375849e+00
1.456112224448898040e-01 2.491125876520950744e+00
1.458917835671342811e-01 2.232105315496613063e+00
1.461723446893787859e-01 2.364106249612979660e+00
1.464529058116232629e-01 2.332064740523013935e+00
1.467334669338677400e-01 1.981432227233595356e+00
1.470140280561122448e-01 2.336967450080960518e+00
1.472945891783567218e-01 2.504636551615226026e+00
1.475751503006012266e-01 2.707778939347661229e+00
1.478557114228457037e-01 2.486946556309243217e+00
1.481362725450902085e-01 3.773956917841720937e+00
1.484168336673346855e-01 2.631809170227627614e+00
1.486973947895791626e-01 2.422445365826088270e+00
1.489779559118236674e-01 3.183526643109577670e+00
1.492585170340681444e-01 2.503451595973081645e+00
1.495390781563126492e-01 2.593401631709377320e+00
1.498196392785571263e-01 2.993416096701232654e+00
1.501002004008016311e-01 2.859818546391168947e+00
1.503807615230461081e-01 2.871377377875449444e+00
1.506613226452905852e-01 2.865436368340088080e+00
1.509418837675350900e-01 2.430987095595426251e+00
1.512224448897795670e-01 2.374787652418562267e+00
1.515030060120240718e-01 2.600098949593470099e+00
1.517835671342685488e-01 2.505264603621610409e+00
1.520641282565130536e-01 3.077019220724471538e+00
1.523446893787575307e-01 2.646736102770744559e+00
1.526252505010020077e-01 3.200454497688103750e+00
1.529058116232465125e-01 3.092626469569638381e+00
1.531863727454909896e-01 3.034937757555725479e+00
1.534669338677354944e-01 3.281978057726247400e+00
1.537474949899799714e-01 3.236198641954632027e+00
1.540280561122244762e-01 2.827301269845842402e+00
1.543086172344689533e-01 2.495529427007079359e+00
1.545891783567134303e-01 2.148823179460824129e+00
1.548697394789579351e-01 2.271694153132811422e+00
1.551503006012024122e-01 3.184073823537214132e+00
1.554308617234469170e-01 3.832901068878503459e+00
1.557114228456913940e-01 3.230604101046816723e+00
1.559919839679358988e-01 3.520107080869133043e+00
1.562725450901803759e-01 3.437922077654344655e+00
1.565531062124248529e-01 3.120686380389159797e+00
1.568336673346693577e-01 3.599443423248801288e+00
1.571142284569138348e-01 2.832398898288290834e+00
1.573947895791583396e-01 2.711719622600936130e+00
1.576753507014028166e-01 2.932825988006532381e+00
1.579559118236473214e-01 4.216751303241810689e+00
1.582364729458917985e-01 3.495172460930095149e+00
1.585170340681362755e-01 3.179455560040967743e+00
1.587975951903807803e-01 3.246978364751844648e+00
1.590781563126252574e-01 3.943872511047146201e+00
1.593587174348697622e-01 3.373164600820334424e+00
1.596392785571142392e-01 3.063751986528560955e+00
1.599198396793587440e-01 9.588558905773904684e+00
1.602004008016032210e-01 3.479053022361738190e+00
1.604809619238476981e-01 3.233859310632918760e+00
1.607615230460922029e-01 3.114369288806901004e+00
1.610420841683366799e-01 4.473388626218154585e+00
1.613226452905811847e-01 3.614541317929444553e+00
1.616032064128256618e-01 3.353931723631475847e+00
1.618837675350701666e-01 3.805787816261328782e+00
1.621643286573146436e-01 3.373975246044132348e+00
1.624448897795591207e-01 3.812577210362426250e+00
1.627254509018036255e-01 3.301502568489750544e+00
1.630060120240481025e-01 4.002604905158484883e+00
1.632865731462926073e-01 4.491610316569452976e+00
1.635671342685370844e-01 4.740920996585305858e+00
1.638476953907815892e-01 5.331145399918196581e+00
1.641282565130260662e-01 4.744333047231924283e+00
1.644088176352705433e-01 6.602211768713618589e+00
1.646893787575150481e-01 4.320817577619602723e+00
1.649699398797595251e-01 5.280012469396681674e+00
1.652505010020040299e-01 4.819830062136021276e+00
1.655310621242485070e-01 5.112115773735646407e+00
1.658116232464930118e-01 6.457503888376582069e+00
1.660921843687374888e-01 3.067380386676030302e+00
1.663727454909819936e-01 3.024291132453114095e+00
1.666533066132264707e-01 5.384185473786107679e+00
1.669338677354709755e-01 3.843758798587096237e+00
1.672144288577154525e-01 3.614039822218843678e+00
1.674949899799599295e-01 4.000180477981684746e+00
1.677755511022044344e-01 4.828497291775930123e+00
1.680561122244489114e-01 3.507665438041980277e+00
1.683366733466934162e-01 2.947989942840707034e+00
1.686172344689378932e-01 4.512562201500324832e+00
1.688977955911823980e-01 4.207239088722336540e+00
1.691783567134268751e-01 3.766544181623681542e+00
1.694589178356713521e-01 3.421496284521728271e+00
1.697394789579158569e-01 3.923027427688787316e+00
1.700200400801603340e-01 4.541466630281536077e+00
1.703006012024048388e-01 3.798798172850468724e+00
