lambda suscetibilidade
1.400000000000000133e-01 2.231790491525772691e+00
1.402805611222444904e-01 2.448696805088796946e+00
1.405611222444889952e-01 2.171466282871477915e+00
1.408416833667334722e-01 2.497382153899932344e+00
1.411222444889779770e-01 2.295814959872303884e+00
1.414028056112224541e-01 2.089388228472020437e+00
1.416833667334669589e-01 2.532580080060993222e+00
1.419639278557114359e-01 2.883452355904320363e+00
1.422444889779559130e-01 2.173523811717176901e+00
1.425250501002004178e-01 2.404122021943963183e+00
1.428056112224448948e-01 3.446678220645618129e+00
1.430861723446893996e-01 2.777587509104828545e+00
1.433667334669338767e-01 2.283150134392177844e+00
1.436472945891783815e-01 2.632722103291592841e+00
1.439278557114228585e-01 3.127603770220408475e+00
1.442084168336673355e-01 2.983529226618293340e+00
1.444889779559118403e-01 3.391292569361777254e+00
1.447695390781563174e-01 3.602469660409930885e+00
1.450501002004008222e-01 2.346102403421591376e+00
1.453306613226452992e-01 2.619185935779702046e+00
1.456112224448898040e-01 3.704228673700477259e+00
1.458917835671342811e-01 2.472185243469055660e+00
1.461723446893787859e-01 2.837086928673181241e+00
1.464529058116232629e-01 2.642486468705513847e+00
1.467334669338677400e-01 2.352021101515225698e+00
1.470140280561122448e-01 3.547919427856649044e+00
1.472945891783567218e-01 2.476731483807212086e+00
1.475751503006012266e-01 3.130279441619039815e+00
1.478557114228457037e-01 2.749725495561398780e+00
1.481362725450902085e-01 2.997126825782047810e+00
1.484168336673346855e-01 2.251791772164231986e+00
1.486973947895791626e-01 3.182700503066307363e+00
1.489779559118236674e-01 3.523855115848189001e+00
1.492585170340681444e-01 3.332259766441493909e+00
1.495390781563126492e-01 2.636629660330461533e+00
1.498196392785571263e-01 3.228136099479313348e+00
1.501002004008016311e-01 3.289743391386830140e+00
1.503807615230461081e-01 2.356594704011055530e+00
1.506613226452905852e-01 3.066537181202016793e+00
1.509418837675350900e-01 2.719949155612241931e+00
1.512224448897795670e-01 2.843079751734059357e+00
1.515030060120240718e-01 3.777306904583615399e+00
1.517835671342685488e-01 3.383407430466558896e+00
1.520641282565130536e-01 2.554687908958848563e+00
1.523446893787575307e-01 2.512710932701270217e+00
1.526252505010020077e-01 2.802522338750388364e+00
1.529058116232465125e-01 2.547052031671898309e+00
1.531863727454909896e-01 2.135862239315288846e+00
1.534669338677354944e-01 2.993821310534880986e+00
1.537474949899799714e-01 2.809714912709488921e+00
1.540280561122244762e-01 2.042627066362639354e+00
1.543086172344689533e-01 2.319330054687534393e+00
1.545891783567134303e-01 2.260819801040889310e+00
1.548697394789579351e-01 2.165142060972767624e+00
1.551503006012024122e-01 2.521473695424993444e+00
1.554308617234469170e-01 2.432135593256119499e+00
1.557114228456913940e-01 2.961125919256666794e+00
1.559919839679358988e-01 2.830180204151219403e+00
1.562725450901803759e-01 3.121529017366181602e+00
1.565531062124248529e-01 2.256908676203993824e+00
1.568336673346693577e-01 2.902846931140169673e+00
1.571142284569138348e-01 5.916648101312834918e+00
1.573947895791583396e-01 3.214365367164040421e+00
1.576753507014028166e-01 3.263554726622631463e+00
1.579559118236473214e-01 5.498537190329954250e+00
1.582364729458917985e-01 2.763216789514223670e+00
1.585170340681362755e-01 2.771305688761446007e+00
1.587975951903807803e-01 2.840079195318403471e+00
1.590781563126252574e-01 3.085177422872241504e+00
1.593587174348697622e-01 2.651731751212450749e+00
1.596392785571142392e-01 2.696768225141944253e+00
1.599198396793587440e-01 3.461375799397666153e+00
1.602004008016032210e-01 2.842899687045807866e+00
1.604809619238476981e-01 3.330855782303866253e+00
1.607615230460922029e-01 3.487174232624691950e+00
1.610420841683366799e-01 3.247993620006991211e+00
1.613226452905811847e-01 2.285412887626495415e+00
1.616032064128256618e-01 4.560609115172438166e+00
1.618837675350701666e-01 3.672124955528579093e+00
1.621643286573146436e-01 3.047168483499431257e+00
1.624448897795591207e-01 3.192946206086529237e+00
1.627254509018036255e-01 3.284802490890730731e+00
1.630060120240481025e-01 3.065459685079478636e+00
1.632865731462926073e-01 4.433018607754994456e+00
1.635671342685370844e-01 3.582081049535150274e+00
1.638476953907815892e-01 2.472423856317376600e+00
1.641282565130260662e-01 2.368876501178867500e+00
1.644088176352705433e-01 2.993072627096175609e+00
1.646893787575150481e-01 3.039539034861687306e+00
1.649699398797595251e-01 2.734233861177076008e+00
1.652505010020040299e-01 2.950771698983951641e+00
1.655310621242485070e-01 2.891299721492781138e+00
1.658116232464930118e-01 5.308793330965938750e+00
1.660921843687374888e-01 3.472270408598225888e+00
1.663727454909819936e-01 4.026727117407948420e+00
1.666533066132264707e-01 4.839858730922514951e+00
1.669338677354709755e-01 3.148211122258356198e+00
1.672144288577154525e-01 3.481857639335868448e+00
1.674949899799599295e-01 3.532201832219505455e+00
1.677755511022044344e-01 4.960387680561320067e+00
1.680561122244489114e-01 3.806359813423176863e+00
1.683366733466934162e-01 3.770999146192526297e+00
